OrderDate,SalesAmount
2012-12-28 00:00:00.000,4.99
2012-12-28 00:00:00.000,4.99
2012-12-28 00:00:00.000,4.99
2012-12-28 00:00:00.000,4.99
2012-12-29 00:00:00.000,4.99
2012-12-29 00:00:00.000,4.99
2012-12-29 00:00:00.000,4.99
2012-12-29 00:00:00.000,4.99
2012-12-29 00:00:00.000,4.99
2012-12-29 00:00:00.000,4.99
2012-12-30 00:00:00.000,4.99
2012-12-30 00:00:00.000,4.99
2012-12-30 00:00:00.000,4.99
2012-12-30 00:00:00.000,4.99
2012-12-30 00:00:00.000,4.99
2012-12-30 00:00:00.000,4.99
2012-12-30 00:00:00.000,4.99
2012-12-30 00:00:00.000,4.99
2012-12-30 00:00:00.000,4.99
2012-12-31 00:00:00.000,4.99
2012-12-31 00:00:00.000,4.99
2012-12-31 00:00:00.000,4.99
2012-12-31 00:00:00.000,4.99
2013-01-01 00:00:00.000,4.99
2013-01-01 00:00:00.000,4.99
2013-01-01 00:00:00.000,4.99
2013-01-01 00:00:00.000,4.99
2013-01-01 00:00:00.000,4.99
2013-01-02 00:00:00.000,4.99
2013-01-02 00:00:00.000,4.99
2013-01-02 00:00:00.000,4.99
2013-01-02 00:00:00.000,4.99
2013-01-03 00:00:00.000,4.99
2013-01-04 00:00:00.000,4.99
2013-01-04 00:00:00.000,4.99
2013-01-04 00:00:00.000,4.99
2013-01-05 00:00:00.000,4.99
2013-01-05 00:00:00.000,4.99
2013-01-05 00:00:00.000,4.99
2013-01-05 00:00:00.000,4.99
2013-01-05 00:00:00.000,4.99
2013-01-05 00:00:00.000,4.99
2013-01-05 00:00:00.000,4.99
2013-01-05 00:00:00.000,4.99
2013-01-05 00:00:00.000,4.99
2013-01-06 00:00:00.000,4.99
2013-01-06 00:00:00.000,4.99
2013-01-06 00:00:00.000,4.99
2013-01-07 00:00:00.000,4.99
2013-01-07 00:00:00.000,4.99
2013-01-07 00:00:00.000,4.99
2013-01-07 00:00:00.000,4.99
2013-01-07 00:00:00.000,4.99
2013-01-07 00:00:00.000,4.99
2013-01-08 00:00:00.000,4.99
2013-01-08 00:00:00.000,4.99
2013-01-08 00:00:00.000,4.99
2013-01-08 00:00:00.000,4.99
2013-01-08 00:00:00.000,4.99
2013-01-08 00:00:00.000,4.99
2013-01-08 00:00:00.000,4.99
2013-01-08 00:00:00.000,4.99
2013-01-09 00:00:00.000,4.99
2013-01-09 00:00:00.000,4.99
2013-01-09 00:00:00.000,4.99
2013-01-09 00:00:00.000,4.99
2013-01-09 00:00:00.000,4.99
2013-01-10 00:00:00.000,4.99
2013-01-10 00:00:00.000,4.99
2013-01-10 00:00:00.000,4.99
2013-01-11 00:00:00.000,4.99
2013-01-11 00:00:00.000,4.99
2013-01-11 00:00:00.000,4.99
2013-01-11 00:00:00.000,4.99
2013-01-11 00:00:00.000,4.99
2013-01-12 00:00:00.000,4.99
2013-01-12 00:00:00.000,4.99
2013-01-12 00:00:00.000,4.99
2013-01-12 00:00:00.000,4.99
2013-01-13 00:00:00.000,4.99
2013-01-13 00:00:00.000,4.99
2013-01-13 00:00:00.000,4.99
2013-01-13 00:00:00.000,4.99
